time,authority,metal,session,unit,price,currency
1968-09-27,lbma,gold,pm,g,1.290208,USD
1968-09-27,lbma,gold,am,g,1.295674,USD
1968-09-30,lbma,silver,default,g,0.069799,USD
1968-09-30,lbma,gold,pm,g,1.273169,USD
1968-09-30,lbma,gold,am,g,1.276384,USD
1968-10-01,lbma,silver,default,g,0.068803,USD
1968-10-01,lbma,gold,pm,g,1.268346,USD
1968-10-01,lbma,gold,am,g,1.273169,USD
1968-10-02,lbma,silver,default,g,0.067227,USD
1968-10-02,lbma,gold,pm,g,1.250663,USD
1968-10-02,lbma,gold,am,g,1.231373,USD
1968-10-03,lbma,silver,default,g,0.067549,USD
1968-10-03,lbma,gold,pm,g,1.259665,USD
1968-10-03,lbma,gold,am,g,1.253878,USD
1968-10-04,lbma,silver,default,g,0.067034,USD
1968-10-04,lbma,gold,pm,g,1.255486,USD
1968-10-04,lbma,gold,am,g,1.250663,USD
1968-10-07,lbma,silver,default,g,0.067549,USD
1968-10-07,lbma,gold,pm,g,1.278956,USD
1968-10-07,lbma,gold,am,g,1.279599,USD
1968-10-08,lbma,silver,default,g,0.067066,USD
1968-10-08,lbma,gold,pm,g,1.273169,USD
1968-10-08,lbma,gold,am,g,1.277991,USD
1968-10-09,lbma,silver,default,g,0.065941,USD
1968-10-09,lbma,gold,pm,g,1.250663,USD
1968-10-09,lbma,gold,am,g,1.260308,USD
1968-10-10,lbma,silver,default,g,0.064655,USD
1968-10-10,lbma,gold,pm,g,1.255486,USD
1968-10-10,lbma,gold,am,g,1.248413,USD
1968-10-11,lbma,silver,default,g,0.065909,USD
1968-10-11,lbma,gold,pm,g,1.26288,USD
1968-10-11,lbma,gold,am,g,1.260308,USD
1968-10-14,lbma,silver,default,g,0.065266,USD
1968-10-14,lbma,gold,pm,g,1.263523,USD
1968-10-14,lbma,gold,am,g,1.263523,USD
1968-10-15,lbma,silver,default,g,0.064012,USD
1968-10-15,lbma,gold,pm,g,1.257093,USD
