time,currency,rate
2026-06-18 19:27:47.102034,GEL,0.3778925592
2026-06-18 19:27:47.102034,GBP,1.3195187094
2026-06-18 19:27:47.102034,FKP,1.3195187094
2026-06-18 19:27:47.102034,FJD,0.446641329
2026-06-18 19:27:47.102034,EUR,1.1452026659
2026-06-18 19:27:47.102034,ETB,0.0063064044
2026-06-18 19:27:47.102034,ERN,0.0666666667
2026-06-18 19:27:47.102034,EGP,0.0200349614
2026-06-18 19:27:47.102034,EEK,0.0731916032
2026-06-18 19:27:47.102034,DZD,0.007486069
2026-06-18 19:27:47.102034,DOP,0.01705987
2026-06-18 19:27:47.102034,DKK,0.1532210917
2026-06-18 19:27:47.102034,DJF,0.0056208436
2026-06-18 19:27:47.102034,CZK,0.0472832888
2026-06-18 19:27:47.102034,CVE,0.0103854418
2026-06-18 19:27:47.102034,CUP,0.04166666666667
2026-06-18 19:27:47.102034,CUC,1.0
2026-06-18 19:27:47.102034,CRC,0.0022036354
2026-06-18 19:27:47.102034,COP,0.0002897254
2026-06-18 19:27:47.102034,CNY,0.1478940548
2026-06-18 19:27:47.102034,CNH,0.1474251623
2026-06-18 19:27:47.102034,CLP,0.0011098901
2026-06-18 19:27:47.102034,CHF,1.2405463959
2026-06-18 19:27:47.102034,CDF,0.000433499
2026-06-18 19:27:47.102034,CAD,0.7070823088
2026-06-18 19:27:47.102034,BZD,0.4966423979
2026-06-18 19:27:47.102034,BYR,3.6561e-05
2026-06-18 19:27:47.102034,BYN,0.36363636363636
2026-06-18 19:27:47.102034,BWP,0.0744785274
2026-06-18 19:27:47.102034,BTN,0.0105928691
2026-06-18 19:27:47.102034,BTC,62687.671215702
2026-06-18 19:27:47.102034,BSD,1.0
2026-06-18 19:27:47.102034,BRL,0.1932099491
2026-06-18 19:27:47.102034,BOB,0.144588295
2026-06-18 19:27:47.102034,BND,0.7743304495
2026-06-18 19:27:47.102034,BMD,1.0
2026-06-18 19:27:47.102034,BIF,0.000335318
2026-06-18 19:27:47.102034,BHD,2.6595744681
2026-06-18 19:27:47.102034,BGN,0.5855328254
2026-06-18 19:27:47.102034,BDT,0.008143998
2026-06-18 19:27:47.102034,BBD,0.5
2026-06-18 19:27:47.102034,BAM,0.5855328254
2026-06-18 19:27:47.102034,AZN,0.5882353534
2026-06-18 19:27:47.102034,AWG,0.5586592179
2026-06-18 19:27:47.102034,AUD,0.7008664706
2026-06-18 19:27:47.102034,ARS,0.0006892686
2026-06-18 19:27:47.102034,AOA,0.0010914468
2026-06-18 19:27:47.102034,ANG,0.5547542059
2026-06-18 19:27:47.102034,AMD,0.0027159687
2026-06-18 19:27:47.102034,ALL,0.0121006744
2026-06-18 19:27:47.102034,AFN,0.0157458492
2026-06-18 19:27:47.102034,AED,0.2722940776
